message_size_bytes,rtt_microseconds
4,0.686597
8,0.677085
16,0.90364
32,0.860735
64,1.068529
128,0.951634
256,1.067477
512,1.381419
1024,1.664563
2048,2.138436
4096,5.195097
8192,6.956908
16384,10.691163
32768,18.192498
65536,32.130465
131072,33.474852
262144,61.631152
524288,118.396661
1048576,227.440219
2097152,408.97239
4194304,751.801756
