message_size_bytes,rtt_microseconds
4,4.35024
8,4.351698
16,4.543802
32,4.33065
64,4.427386
128,5.858503
256,6.120103
512,6.348043
1024,6.2365
2048,6.654863
4096,7.146283
8192,7.612167
16384,8.279132
32768,15.188932
65536,19.620961
131072,28.192439
262144,43.12959
524288,68.787442
1048576,118.085792
2097152,211.42688
4194304,384.429873
