message_size_bytes,rtt_microseconds
4,4.203183
8,4.154083
16,4.508881
32,4.178336
64,4.189856
128,5.842411
256,5.747157
512,5.76716
1024,5.946087
2048,6.271918
4096,6.761526
8192,7.003836
16384,7.893823
32768,13.714076
65536,15.897554
131072,21.639975
262144,33.128966
524288,59.757531
1048576,110.087198
2097152,205.358038
4194304,395.159736
