message_size_bytes,rtt_microseconds
4,0.702341
8,0.676765
16,0.863578
32,0.880897
64,1.053699
128,0.952379
256,1.077896
512,1.578983
1024,1.672407
2048,2.182095
4096,5.097708
8192,6.791877
16384,10.507705
32768,17.68581
65536,31.614748
131072,33.145731
262144,60.975796
524288,117.087708
1048576,225.273199
2097152,403.737774
4194304,735.629938
