message_size_bytes,rtt_microseconds
4,0.700262
8,0.685666
16,0.865746
32,0.884983
64,1.043444
128,0.951732
256,1.076842
512,1.427374
1024,1.730564
2048,2.248179
4096,5.28055
8192,6.976118
16384,10.632947
32768,17.989167
65536,31.840599
131072,33.611545
262144,61.773375
524288,118.182224
1048576,225.811686
2097152,401.347154
4194304,732.774957
