message_size_bytes,rtt_microseconds
4,4.18254
8,4.261823
16,4.297576
32,4.274395
64,4.210612
128,5.535462
256,5.668437
512,5.73128
1024,5.919322
2048,6.237907
4096,6.775653
8192,7.07828
16384,7.990784
32768,13.351446
65536,16.033843
131072,21.568959
262144,33.297986
524288,55.717607
1048576,102.1415
2097152,193.151583
4194304,373.587528
