message_size_bytes,rtt_microseconds
4,4.462104
8,4.467377
16,4.576781
32,4.5106
64,4.541498
128,6.164586
256,6.065553
512,5.993708
1024,5.999625
2048,6.390054
4096,6.804722
8192,7.095415
16384,7.82534
32768,13.994433
65536,17.677218
131072,24.929927
262144,38.362802
524288,62.941115
1048576,107.986443
2097152,200.906085
4194304,385.134623
