message_size_bytes,rtt_microseconds
4,0.697621
8,0.67406
16,0.903321
32,0.883539
64,1.06394
128,0.962315
256,1.0976
512,1.429629
1024,1.473681
2048,2.01958
4096,4.916051
8192,6.717425
16384,10.247537
32768,17.072941
65536,30.393102
131072,34.297621
262144,63.489234
524288,122.332717
1048576,237.362311
2097152,413.450801
4194304,740.836494
