group,section,message_size_bytes,rtt_microseconds
school_cluster,School Cluster 3,32768,17.68581
school_cluster,School Cluster 3,65536,31.614748
school_cluster,School Cluster 3,131072,33.145731
school_cluster,School Cluster 3,262144,60.975796
school_cluster,School Cluster 3,524288,117.087708
school_cluster,School Cluster 3,1048576,225.273199
school_cluster,School Cluster 3,2097152,403.737774
school_cluster,School Cluster 3,4194304,735.629938
school_cluster,School Cluster 4,4,0.700262
school_cluster,School Cluster 4,8,0.685666
school_cluster,School Cluster 4,16,0.865746
school_cluster,School Cluster 4,32,0.884983
school_cluster,School Cluster 4,64,1.043444
school_cluster,School Cluster 4,128,0.951732
school_cluster,School Cluster 4,256,1.076842
school_cluster,School Cluster 4,512,1.427374
school_cluster,School Cluster 4,1024,1.730564
school_cluster,School Cluster 4,2048,2.248179
school_cluster,School Cluster 4,4096,5.28055
school_cluster,School Cluster 4,8192,6.976118
school_cluster,School Cluster 4,16384,10.632947
school_cluster,School Cluster 4,32768,17.989167
school_cluster,School Cluster 4,65536,31.840599
school_cluster,School Cluster 4,131072,33.611545
school_cluster,School Cluster 4,262144,61.773375
school_cluster,School Cluster 4,524288,118.182224
school_cluster,School Cluster 4,1048576,225.811686
school_cluster,School Cluster 4,2097152,401.347154
school_cluster,School Cluster 4,4194304,732.774957
school_cluster,School Cluster 5,4,0.697621
school_cluster,School Cluster 5,8,0.67406
school_cluster,School Cluster 5,16,0.903321
school_cluster,School Cluster 5,32,0.883539
school_cluster,School Cluster 5,64,1.06394
school_cluster,School Cluster 5,128,0.962315
school_cluster,School Cluster 5,256,1.0976
school_cluster,School Cluster 5,512,1.429629
school_cluster,School Cluster 5,1024,1.473681
school_cluster,School Cluster 5,2048,2.01958
school_cluster,School Cluster 5,4096,4.916051
school_cluster,School Cluster 5,8192,6.717425
school_cluster,School Cluster 5,16384,10.247537
school_cluster,School Cluster 5,32768,17.072941
school_cluster,School Cluster 5,65536,30.393102
school_cluster,School Cluster 5,131072,34.297621
school_cluster,School Cluster 5,262144,63.489234
school_cluster,School Cluster 5,524288,122.332717
school_cluster,School Cluster 5,1048576,237.362311
school_cluster,School Cluster 5,2097152,413.450801
school_cluster,School Cluster 5,4194304,740.836494
