dataset,message_size_bytes,measured_rtt_microseconds,predicted_rtt_microseconds,relative_error_percent,absolute_error_milliseconds
dardel_2,4.0,4.462104,5.048882596,11.621949705562141,0.0005867785960000003
dardel_2,8.0,4.467377,5.049308192,11.5249687654637,0.0005819311919999998
dardel_2,16.0,4.576781,5.050159384,9.373533546283007,0.0004733783839999992
dardel_2,32.0,4.5106,5.051861768,10.714104875721532,0.000541261768
dardel_2,64.0,4.541498,5.0552665359999995,10.16303556580661,0.0005137685359999998
dardel_2,128.0,6.164586,5.062076072,21.779797701941764,0.001102509928
dardel_2,256.0,6.065553,5.075695144,19.50191703633177,0.0009898578560000005
dardel_2,512.0,5.993708,5.102933288,17.456130851146643,0.0008907747119999997
dardel_2,1024.0,5.999625,5.157409576,16.33020243184192,0.0008422154239999999
dardel_2,2048.0,6.390054,5.266362152,21.337154862645686,0.001123691848
dardel_2,4096.0,6.804722,5.484267304,24.07713962149354,0.0013204546959999996
dardel_2,8192.0,7.095415,5.920077608,19.853411894663804,0.0011753373920000002
dardel_2,16384.0,7.82534,6.791698216,15.219194833553237,0.0010336417839999993
dardel_2,32768.0,13.994433,8.534939432,63.966400833856575,0.005459493568000001
dardel_2,65536.0,17.677218,12.021421864,47.04764710851011,0.005655796136
dardel_2,131072.0,24.929927,18.994386728,31.248917677612116,0.005935540272000001
dardel_2,262144.0,38.362802,32.940316456,16.461546601238894,0.005422485544000004
dardel_2,524288.0,62.941115,60.832175912,3.4668151457393277,0.002108939088000007
dardel_2,1048576.0,107.986443,116.615894824,7.399893331028169,0.008629451824
dardel_2,2097152.0,200.906085,228.183332648,11.954092935472381,0.027277247648000012
dardel_2,4194304.0,385.134623,451.31820829599997,14.664505902804848,0.06618358529599999
dardel_3,4.0,4.125955,5.048882596,18.279838725725046,0.000922927596
dardel_3,8.0,4.054353,5.049308192,19.704782401208597,0.000994955192
dardel_3,16.0,4.186208,5.050159384,17.107408267889234,0.0008639513839999999
dardel_3,32.0,4.142916,5.051861768,17.992292935597217,0.0009089457680000006
dardel_3,64.0,4.159377,5.0552665359999995,17.72190505921129,0.0008958895359999995
dardel_3,128.0,5.539703,5.062076072,9.435396094537401,0.0004776269280000003
dardel_3,256.0,5.786972,5.075695144,14.013388034953259,0.0007112768559999996
dardel_3,512.0,6.126462,5.102933288,20.057654181114195,0.001023528712
dardel_3,1024.0,5.982364,5.157409576,15.995518910092462,0.0008249544239999995
dardel_3,2048.0,6.18818,5.266362152,17.503882592843,0.0009218178479999999
dardel_3,4096.0,6.88289,5.484267304,25.502453080284788,0.0013986226959999994
dardel_3,8192.0,7.033723,5.920077608,18.81133096118696,0.0011136453920000005
dardel_3,16384.0,7.707226,6.791698216,13.480101071675769,0.000915527784
dardel_3,32768.0,14.731663,8.534939432,72.60418913773024,0.006196723568
dardel_3,65536.0,19.552133,12.021421864,62.644096690025286,0.007530711136000001
dardel_3,131072.0,27.988556,18.994386728,47.351722384074236,0.008994169272
dardel_3,262144.0,42.890272,32.940316456,30.206010793158743,0.009949955544000005
dardel_3,524288.0,67.803664,60.832175912,11.460198461559186,0.006971488088000001
dardel_3,1048576.0,114.785212,116.615894824,1.5698398805436526,0.001830682823999993
dardel_3,2097152.0,203.433437,228.183332648,10.846495824556857,0.024749895648000005
dardel_3,4194304.0,395.288102,451.31820829599997,12.414767511274945,0.056030106295999985
dardel_4,4.0,4.35024,5.048882596,13.837568664272421,0.000698642596
dardel_4,8.0,4.351698,5.049308192,13.81595587897123,0.000697610192
dardel_4,16.0,4.543802,5.050159384,10.026562440865714,0.0005063573839999993
dardel_4,32.0,4.33065,5.051861768,14.27615800116247,0.0007212117679999999
dardel_4,64.0,4.427386,5.0552665359999995,12.420325051679914,0.0006278805359999993
dardel_4,128.0,5.858503,5.062076072,15.733207416721726,0.0007964269279999998
dardel_4,256.0,6.120103,5.075695144,20.57664667340392,0.0010444078560000003
dardel_4,512.0,6.348043,5.102933288,24.39988221927152,0.0012451097119999996
dardel_4,1024.0,6.2365,5.157409576,20.92310893867236,0.0010790904240000003
dardel_4,2048.0,6.654863,5.266362152,26.365464583036513,0.0013885008479999996
dardel_4,4096.0,7.146283,5.484267304,30.305154797757467,0.001662015696
dardel_4,8192.0,7.612167,5.920077608,28.582216383674147,0.0016920893920000007
dardel_4,16384.0,8.279132,6.791698216,21.90076379565685,0.0014874337840000004
dardel_4,32768.0,15.188932,8.534939432,77.96180185007785,0.0066539925679999995
dardel_4,65536.0,19.620961,12.021421864,63.216641275671314,0.007599539136000001
dardel_4,131072.0,28.192439,18.994386728,48.42510792117849,0.009198052272000002
dardel_4,262144.0,43.12959,32.940316456,30.9325308322715,0.010189273544000002
dardel_4,524288.0,68.787442,60.832175912,13.077398545644847,0.007955266088000002
dardel_4,1048576.0,118.085792,116.615894824,1.2604604014044687,0.0014698971760000034
dardel_4,2097152.0,211.42688,228.183332648,7.343416564893817,0.016756452647999992
dardel_4,4194304.0,384.429873,451.31820829599997,14.820659584851233,0.06688833529599998
dardel_5,4.0,4.18254,5.048882596,17.159095691517244,0.000866342596
dardel_5,8.0,4.261823,5.049308192,15.595902687177471,0.0007874851920000001
dardel_5,16.0,4.297576,5.050159384,14.902170937106396,0.0007525833839999994
dardel_5,32.0,4.274395,5.051861768,15.389707868190428,0.0007774667680000001
dardel_5,64.0,4.210612,5.0552665359999995,16.708407558433816,0.0008446545359999993
dardel_5,128.0,5.535462,5.062076072,9.35161623940131,0.0004733859279999999
dardel_5,256.0,5.668437,5.075695144,11.678042892325449,0.000592741856
dardel_5,512.0,5.73128,5.102933288,12.313441633219327,0.0006283467119999999
dardel_5,1024.0,5.919322,5.157409576,14.773161075776468,0.0007619124240000002
dardel_5,2048.0,6.237907,5.266362152,18.448120732278873,0.0009715448479999997
dardel_5,4096.0,6.775653,5.484267304,23.54709616466207,0.001291385696
dardel_5,8192.0,7.07828,5.920077608,19.563973121482103,0.0011582023920000007
dardel_5,16384.0,7.990784,6.791698216,17.65516879379552,0.0011990857839999994
dardel_5,32768.0,13.351446,8.534939432,56.432814859136535,0.004816506567999999
dardel_5,65536.0,16.033843,12.021421864,33.37725920771331,0.004012421136000001
